iter	Passed	Remaining
428	1718	10296
429	1721	10290
430	1725	10284
431	1729	10277
432	1732	10271
433	1736	10264
434	1739	10258
435	1743	10251
436	1746	10245
437	1750	10239
438	1754	10234
439	1759	10238
440	1765	10241
441	1769	10239
442	1773	10235
443	1777	10230
444	1780	10224
445	1784	10219
446	1788	10214
447	1792	10208
448	1803	10249
449	1819	10310
450	1823	10304
451	1827	10299
452	1830	10293
453	1834	10288
454	1838	10282
455	1850	10321
456	1854	10316
457	1857	10311
458	1861	10305
459	1865	10300
460	1869	10294
461	1873	10289
462	1876	10283
463	1880	10278
464	1884	10272
465	1887	10266
466	1891	10259
467	1895	10253
468	1898	10247
469	1902	10241
470	1907	10241
471	1911	10238
472	1916	10237
473	1920	10232
474	1923	10227
475	1928	10227
476	1933	10227
477	1937	10222
478	1941	10217
479	1944	10211
480	1948	10204
481	1952	10198
482	1956	10195
483	1960	10190
484	1963	10184
485	1967	10177
486	1971	10171
487	1974	10165
488	1979	10162
489	1982	10156
490	1986	10150
491	1990	10147
492	2004	10191
493	2008	10186
494	2011	10180
495	2015	10174
496	2019	10169
497	2022	10163
498	2026	10157
499	2030	10152
500	2034	10146
501	2038	10141
502	2041	10135
503	2045	10130
504	2049	10124
505	2053	10119
506	2056	10113
507	2060	10107
508	2064	10101
509	2067	10095
510	2071	10088
511	2074	10082
512	2078	10077
513	2082	10071
514	2085	10064
515	2089	10058
516	2093	10052
517	2096	10046
518	2100	10040
519	2103	10034
520	2107	10028
521	2111	10022
522	2114	10016
523	2118	10010
524	2122	10004
525	2125	9998
526	2129	9992
527	2133	9986
528	2136	9980
529	2140	9974
530	2143	9968
531	2147	9962
532	2151	9956
533	2154	9950
534	2158	9944
535	2162	9939
536	2165	9933
537	2169	9928
538	2173	9922
539	2176	9917
540	2180	9912
541	2184	9907
542	2188	9902
543	2192	9897
544	2195	9891
545	2199	9886
546	2203	9881
547	2207	9875
548	2210	9870
549	2214	9864
550	2218	9859
551	2222	9854
552	2225	9849
553	2229	9843
554	2233	9837
555	2236	9832
556	2240	9826
557	2244	9821
558	2247	9815
559	2251	9810
560	2255	9805
561	2258	9799
562	2262	9794
563	2266	9789
564	2270	9784
565	2273	9778
566	2277	9773
567	2281	9767
568	2284	9762
569	2288	9756
570	2292	9751
571	2296	9746
572	2301	9747
573	2305	9742
574	2308	9736
575	2312	9732
576	2316	9727
577	2320	9722
578	2323	9716
579	2327	9711
580	2331	9706
581	2335	9701
582	2338	9695
583	2342	9690
584	2346	9685
585	2349	9680
586	2353	9674
587	2357	9669
588	2361	9664
589	2364	9659
590	2368	9654
591	2372	9649
592	2375	9643
593	2379	9638
594	2383	9633
595	2386	9627
596	2390	9622
597	2394	9617
598	2398	9612
599	2401	9607
600	2405	9602
601	2409	9597
602	2413	9592
603	2416	9586
604	2420	9581
605	2424	9576
606	2427	9571
607	2431	9566
608	2435	9561
609	2439	9556
610	2442	9551
611	2447	9549
612	2451	9545
613	2455	9541
614	2459	9537
615	2463	9532
616	2466	9527
617	2470	9522
618	2474	9517
619	2478	9512
620	2481	9507
621	2485	9503
622	2489	9498
623	2493	9493
624	2496	9488
625	2500	9483
626	2504	9478
627	2508	9473
628	2511	9468
629	2515	9463
630	2519	9458
631	2523	9453
632	2526	9448
633	2530	9443
634	2534	9438
635	2537	9433
636	2541	9428
637	2545	9423
638	2548	9418
639	2552	9413
640	2556	9408
641	2560	9403
642	2563	9397
643	2567	9392
644	2571	9387
645	2574	9382
646	2578	9377
647	2582	9372
648	2585	9367
649	2589	9362
650	2593	9357
651	2597	9353
652	2601	9349
653	2605	9344
654	2608	9340
655	2612	9335
656	2616	9330
657	2619	9324
