iter	Logloss
0	0.6816407221
1	0.6713335365
2	0.6627735464
3	0.6520545702
4	0.6427506045
5	0.6340440288
6	0.625688371
7	0.6168387622
8	0.6071818823
9	0.600176674
10	0.5937738929
11	0.5871567388
12	0.5811858847
13	0.5748942905
14	0.5699012524
15	0.5647816399
16	0.5600328006
17	0.5559663879
18	0.5518391868
19	0.5479626364
20	0.5446591808
21	0.5408908083
22	0.5359677669
23	0.5324837365
24	0.5286067186
25	0.5254324714
26	0.5229525248
27	0.5206283217
28	0.5179914511
29	0.5158694367
30	0.5134963586
31	0.5114394502
32	0.5087931017
33	0.5068248185
34	0.5038894905
35	0.502182066
36	0.5002789252
37	0.4986388787
38	0.4963687254
39	0.4947586135
40	0.4934682398
41	0.4918067394
42	0.4899487267
43	0.4886303087
44	0.4876739913
45	0.4864179069
46	0.4854533067
47	0.4838812752
48	0.4830327312
49	0.4820357179
50	0.4808708031
51	0.4800947185
52	0.479172739
53	0.4788469327
54	0.477877198
55	0.476542071
56	0.4758905051
57	0.4741248578
58	0.4735327588
59	0.472204124
60	0.4709588614
61	0.4702694664
62	0.4694638383
63	0.4688554874
64	0.4682873469
65	0.467576533
66	0.4670157036
67	0.4664340991
68	0.4660598161
69	0.4654864447
70	0.4644758144
71	0.4640324914
72	0.4634762781
73	0.4629982655
74	0.4621446744
75	0.4616554069
76	0.4609851861
77	0.460127956
78	0.4593448419
79	0.4586503991
80	0.4572160455
81	0.45683028
82	0.4564017187
83	0.4559849739
84	0.4555005565
85	0.4550851175
86	0.4545155205
87	0.4539754309
88	0.4535483294
89	0.4532639324
90	0.4529253792
91	0.4524431807
92	0.4518457928
93	0.4515887286
94	0.4511332905
95	0.4507251937
96	0.4499742133
97	0.4496357792
98	0.4492777222
99	0.4490746729
100	0.4488455935
101	0.4485174701
102	0.4478941494
103	0.4476518275
104	0.4474230642
105	0.4471222156
106	0.4465335522
107	0.4461083841
108	0.4458549186
109	0.4453790133
110	0.4450051207
111	0.444608993
112	0.4441933731
113	0.4439313172
114	0.4437343225
115	0.4434597856
116	0.4425780659
117	0.4423626931
118	0.4420857311
119	0.4418768917
120	0.4417028972
121	0.4415039539
122	0.4411047683
123	0.4407733855
124	0.4405104879
125	0.4402462578
126	0.4400993417
127	0.4398125964
128	0.4394568908
129	0.4391153602
130	0.4381918994
131	0.4379931531
132	0.4378248228
133	0.4375137974
134	0.4373139637
135	0.4370180531
136	0.4367219618
137	0.436544076
138	0.4362984323
139	0.4362861539
140	0.4360309174
141	0.435825916
142	0.4357105747
143	0.4355909582
144	0.4350871456
145	0.4349558556
146	0.4347742821
147	0.4345583363
148	0.4339321202
149	0.4337810792
150	0.4334978847
